"","date","length","age","maturity","stage"
"1","4/28/2003",51,NA,"Mature",6
"2","5/4/2003",52,NA,"Mature",6
"3","7/6/2003",57,NA,"Mature",7
"4","7/6/2003",52,NA,"Mature",6
"5","7/30/2003",53,NA,"Mature",6
"6","7/30/2003",54,NA,"Mature",6
"7","7/29/2003",55,NA,"Mature",6
"8","11/9/2003",67,NA,"Mature",4
"9","11/9/2003",54,NA,"Mature",2
"10","3/2/2004",56,NA,"Mature",4
"11","3/17/2004",60,NA,"Mature",3
"12","7/12/2004",69,NA,"Mature",7
"13","7/12/2004",47,NA,"Immature",2
"14","7/14/2004",54,NA,"Mature",7
"15","7/16/2004",57,NA,"Mature",7
"16","7/17/2004",54,NA,"Mature",7
"17","7/18/2004",52,NA,"Mature",7
"18","7/26/2004",53,NA,"Mature",7
"19","7/31/2004",48,NA,"Mature",7
"20","8/4/2004",56,NA,"Mature",6
"21","8/12/2004",45,NA,"Mature",7
"22","8/14/2004",58,NA,"Mature",7
"23","2/2/2005",61,NA,"Mature",4
"24","2/5/2005",64,NA,"Mature",4
"25","2/24/2005",53,NA,"Mature",4
"26","2/26/2005",59,NA,"Mature",4
"27","3/11/2005",51,NA,"Mature",5
"28","3/11/2005",66,NA,"Mature",5
"29","3/20/2005",57,NA,"Mature",4
"30","3/23/2005",50,NA,"Mature",6
"31","3/23/2005",42,NA,"Mature",6
"32","3/24/2005",53,NA,"Mature",6
"33","3/25/2005",53,NA,"Mature",4
"34","4/4/2005",50,NA,"Mature",3
"35","4/9/2005",51,NA,"Mature",7
"36","4/23/2005",57,NA,"Immature",6
"37","4/27/2005",59,NA,"Mature",3
"38","5/4/2005",53,NA,"Mature",6
"39","5/28/2005",43,NA,"Mature",2
"40","6/4/2005",60,NA,"Mature",6
"41","6/8/2005",51,NA,"Mature",6
"42","6/9/2005",53,NA,"Mature",6
"43","6/24/2005",54,NA,"Mature",7
"44","6/27/2005",57,NA,"Mature",7
"45","7/10/2005",54,NA,"Unknown",7
"46","7/12/2005",52,NA,"Mature",7
"47","7/18/2005",67,NA,"Mature",7
"48","7/21/2005",55,NA,"Mature",6
"49","7/28/2005",52,NA,"Mature",7
"50","5/4/2003",51,5,"Mature",6
"51","7/3/2003",44,5,"Immature",2
"52","7/5/2003",47,5,"Mature",7
"53","7/5/2003",47,5,"Mature",7
"54","7/5/2003",53,6,"Mature",6
"55","7/6/2003",53,6,"Mature",7
"56","10/26/2003",46,4,"Mature",7
"57","10/26/2003",51,4,"Mature",7
"58","4/19/2004",58,6,"Mature",6
"59","5/1/2004",57,6,"Mature",6
"60","6/17/2004",62,9,"Mature",6
"61","7/6/2004",48,4,"Immature",7
"62","7/9/2004",61,5,"Mature",7
"63","7/12/2004",42,5,"Immature",2
"64","7/12/2004",47,4,"Immature",2
"65","7/18/2004",41,4,"Mature",7
"66","7/18/2004",50,5,"Mature",7
"67","7/20/2004",51,4,"Mature",7
"68","7/23/2004",42,3,"Mature",7
"69","7/23/2004",47,4,"Mature",7
"70","7/26/2004",57,6,"Mature",7
"71","7/27/2004",53,4,"Mature",7
"72","7/30/2004",55,6,"Mature",7
"73","8/9/2004",58,6,"Mature",3
"74","8/10/2004",50,4,"Mature",7
"75","8/11/2004",51,5,"Mature",7
"76","8/12/2004",51,5,"Mature",7
"77","8/12/2004",48,5,"Mature",7
"78","8/14/2004",53,4,"Mature",7
"79","8/14/2004",58,8,"Mature",4
"80","8/15/2004",51,5,"Mature",7
"81","8/15/2004",52,5,"Mature",7
"82","4/14/2005",56,7,"Mature",6
"83","4/21/2005",54,5,"Mature",6
"84","4/30/2005",61,9,"Mature",6
"85","4/30/2006",49,NA,"Mature",7
"86","4/30/2005",51,6,"Mature",6
"87","4/30/2005",53,6,"Mature",6
"88","5/4/2005",62,6,"Mature",6
"89","5/13/2005",48,5,"Immature",2
"90","5/13/2005",44,5,"Mature",2
"91","5/21/2006",56,NA,"Mature",7
"92","5/14/2005",58,7,"Mature",6
"93","5/28/2006",52,NA,"Mature",7
"94","5/28/2005",65,8,"Mature",3
"95","5/28/2005",55,6,"Mature",7
"96","5/31/2005",57,7,"Mature",6
"97","6/1/2005",52,5,"Mature",6
"98","6/3/2005",58,5,"Mature",6
"99","3/27/2006",55,NA,"Mature",4
"100","4/3/2006",48,NA,"Mature",6
"101","6/8/2005",56,6,"Mature",6
"102","6/9/2005",63,7,"Mature",6
"103","6/11/2005",51,5,"Immature",7
"104","6/12/2005",53,6,"Mature",6
"105","6/9/2006",54,NA,"Mature",7
"106","6/9/2006",57,NA,"Mature",7
"107","6/22/2005",56,6,"Mature",3
"108","6/11/2006",46,NA,"Immature",2
"109","6/22/2005",48,6,"Immature",2
"110","6/11/2006",51,NA,"Mature",7
"111","6/23/2005",44,5,"Immature",2
"112","6/24/2005",48,5,"Immature",2
"113","6/22/2006",46,NA,"Mature",7
"114","6/28/2005",41,4,"Immature",2
