"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Address","PlaceId","Type"
,"2020-07-29T11:25:39-07:00",47.5220609406615,-122.533527518937,804680.899814286,1137991.4443924,,,,
"420138 ","2020-06-22T10:44:21-07:00",47.4345891852433,-122.574369628885,773047.021867985,1127063.81754756,,,,
"420139","2020-06-22T11:41:23-07:00",47.4312023443023,-122.563621221272,771742.25565052,1129690.84401832,,,,
"420140","2020-06-22T14:51:58-07:00",47.4297633469953,-122.533680186267,771025.066705696,1137085.76757457,,,,
"420141","2020-06-23T13:42:32-07:00",47.4483536060282,-122.574494688379,778066.959918406,1127164.91130823,,,,
"420142","2020-06-24T12:39:18-07:00",47.4605069073327,-122.572860868492,782487.998282234,1127685.53216935,,,,
"420143 Need SSM NFB US Storms Drain DS Drains Into  Olalla ","2020-06-23T11:15:30-07:00",47.4471475139364,-122.575383551792,777632.948738558,1126933.47345091,,,,
"420197","2020-07-15T13:13:22-07:00",47.5121445336986,-122.506196929141,800891.810717387,1144650.572788,"33 pass",,,
"420198","2020-07-15T13:12:50-07:00",47.5128589072227,-122.50663359387,801155.062261654,1144549.31737454,"67 pass",,,
"420200","2020-07-15T15:06:05-07:00",47.5172147188769,-122.515152950384,802797.141137999,1142485.11142249,"Level T needed? Tidal influenced from sound to estuary. Large crossing structure upstream on Southworth rd",,,
"420206","2020-07-28T11:25:30-07:00",47.5224056417017,-122.522400111758,804735.915093328,1140743.32103009,"Level B complete",,,
"420207","2020-07-29T09:51:43-07:00",47.5226410163545,-122.529849576989,804869.025821739,1138905.40043886,,,,
"420214","2020-08-03T10:42:18-07:00",47.5992446706848,-122.709376354334,833994.298833572,1095343.80424527,"Failed culverts downstream. Flagged off construction site",,,
"420215","2020-08-03T11:36:19-07:00",47.615670413632,-122.713774618229,840014.457090953,1094427.15135091,,,,
"420216","2020-08-04T10:00:23-07:00",47.6460227886502,-122.774583022211,851509.194433653,1079753.16325669,"0 passable. Very steep culvert ",,,
"420221","2020-08-10T12:20:00-07:00",47.6637543159174,-122.743664052837,857756.891050316,1087556.30653602,"0 passable ",,,
"420222","2020-08-11T10:16:50-07:00",47.6361593653981,-122.753269345773,847761.646272442,1084902.57343862,"0 passable",,,
"420223","2020-08-11T12:31:02-07:00",47.6355590505706,-122.737582237075,847432.640297998,1088762.77213229,,,,
"420224","2020-08-18T09:59:10-07:00",47.652780460053,-122.715129263288,853556.38391322,1094473.27914116,"33 passable ",,,
"420228","2020-08-10T14:17:20-07:00",47.66176734516,-122.746044107145,857049.011140963,1086949.35875948,,,,
"420229","2020-08-11T12:00:53-07:00",47.636273217628,-122.74283541258,847729.849164227,1087475.40914711,"0 passable",,,
"420230","2020-08-11T13:57:08-07:00",47.6526160185007,-122.735214717832,853636.069513131,1089522.61363221,"0 passable ",,,
"420231","2020-08-18T12:18:28-07:00",47.650882452609,-122.718156826814,852885.220821194,1093707.82967926,"1.04% slope. 33 passable",,,
"420233","2020-08-04T11:01:23-07:00",47.6480904896359,-122.773296615111,852254.049811324,1080091.89962986,,,,
"420241","2020-08-26T11:31:18-07:00",47.8986925468722,-122.566390251686,942246.975665672,1133473.07521167,"0 passable ",,,
"420252","2020-09-22T13:33:49-07:00",47.7803097948073,-122.491269957054,898595.541685194,1150807.94614982,,,,
"Camp WesleyHarris. Permission Needed","2020-08-03T13:22:17-07:00",47.6043449086797,-122.739552449954,836064.058879394,1087953.89910949,"Grate on outlet. Inlet photo at 1:35",,,
"Double Culvert","2020-08-11T12:10:26-07:00",47.6365927782101,-122.736345872582,847800.952247009,1089078.19441897,,,,
"DS On Private W/t Gate US Rd Ditch 0.7","2020-06-23T14:24:25-07:00",47.4515373948146,-122.573050905047,779218.525296016,1127552.55562758,,,,
"DS Private RND CST 0.61 BF 4.2","2020-06-24T10:42:13-07:00",47.4615881902239,-122.570516169234,782867.05348374,1128275.72285585,,,,
"DS Private W/t Fence US 15-20m Then Wetland Area","2020-06-23T14:47:38-07:00",47.4590677714469,-122.57302729657,781964.302308855,1127630.57963788,,,,
