"Title","Date Created","Latitude","Longitude","Northing","Easting","Description"
" 602478 New Bridge Site pics 547-548","2020-02-26T11:53:01-08:00",48.0895036249018,-123.236651038856,0,0,
"604242 New Bridge Site Pics 543-544","2020-02-26T11:52:14-08:00",48.1052050680672,-123.22167791882,0,0,
"604243 New Bridge Site walking path pics 545-546","2020-02-26T11:51:34-08:00",48.0980753163326,-123.227038614984,0,0,
"No Crossing","2020-03-11T11:35:01-07:00",48.1033827833538,-123.223341767698,0,0,
"Barrier RA","2020-02-26T11:48:49-08:00",48.0761037481814,-123.234392777495,0,0,
"New Site","2020-02-26T11:49:48-08:00",48.0894514225579,-123.236564621513,0,0,
"No Barrier","2020-02-26T11:48:04-08:00",48.0807240017824,-123.232783959565,0,0,
"No Barrier","2020-02-26T11:48:22-08:00",48.0763959800165,-123.234421996357,0,0,
"No Barrier","2020-02-26T11:49:11-08:00",48.0729586889774,-123.242410052356,0,0,
"New Bridge Site","2020-02-26T11:50:50-08:00",48.1052301889344,-123.221665325299,0,0,
"No Barrier","2020-02-26T11:50:29-08:00",48.1192500855373,-123.2201555859,0,0,
"New Site 602476","2020-02-26T12:50:23-08:00",48.0283937279657,-123.249323605587,0,0,
"New Site 602477","2020-02-27T12:00:55-08:00",48.0282915094151,-123.243539836665,0,0,
"No Barrier","2020-03-02T11:18:54-08:00",48.0178371746445,-123.232530290172,0,0,
"New Site 602474 Ended Unn Pederson","2020-02-26T11:43:45-08:00",48.0362650666887,-123.269352300973,0,0,
"New Site 602475 Ended Pederson","2020-02-26T11:42:47-08:00",48.0361192255742,-123.257480002919,0,0,
"New Site 602476","2020-02-26T21:06:58-08:00",48.0283949463177,-123.249362324269,0,0,
"No Crossing","2020-02-26T11:46:04-08:00",48.0497309429912,-123.27137282771,0,0,
"No Crossing","2020-02-27T12:42:47-08:00",48.0497181238484,-123.271355746072,0,0,
"Not Surveyed","2020-02-26T11:45:22-08:00",48.0516615046,-123.248869240183,0,0,
"Not Surveyed","2020-02-26T11:45:43-08:00",48.0507536427079,-123.264954369953,0,0,
"No Barrier","2020-02-26T11:46:49-08:00",48.063699402468,-123.245733062147,0,0,
"No Barrier","2020-02-26T11:47:33-08:00",48.0729300237235,-123.242424202504,0,0,
"No Crossing","2020-02-26T11:47:07-08:00",48.0627852344114,-123.245584309931,0,0,
"Not Surveyed","2020-02-26T11:46:33-08:00",48.0616392890883,-123.261666726065,0,0,
"Active Logging Could Not Access","2020-02-27T10:50:44-08:00",48.0085665405914,-123.242456755022,0,0,
"Barrier DS","2020-03-02T11:38:27-08:00",48.0144676116707,-123.260331281759,0,0,
"Barrier DS","2020-03-02T11:38:45-08:00",48.020023800994,-123.253741787543,0,0,
"Change to NFB?","2020-03-02T11:35:14-08:00",48.0148949682682,-123.212395364926,0,0,
"Could Not Find A Crossing","2020-02-27T10:50:16-08:00",48.006931909712,-123.221021920174,0,0,
"No Barrier","2020-03-02T11:37:41-08:00",48.0178395828484,-123.232570428325,0,0,
"No Crossing","2020-03-02T11:36:24-08:00",48.0147235640166,-123.219567670556,0,0,
"Bridge 602479 Pics 586-587 BFW2.23","2020-02-27T09:00:54-08:00",48.0099787811153,-123.217115295094,0,0,
"Bridge 602565 Pic 588-589 BFW2.10","2020-02-27T09:05:30-08:00",48.0089892386574,-123.218628631152,0,0,
"No Crossing","2020-02-27T10:51:34-08:00",48.0069966498523,-123.220909612665,0,0,
"NFB ?","2020-02-27T11:04:19-08:00",48.0148575775705,-123.212301556475,0,0,
"NFB","2020-02-27T08:58:49-08:00",48.0101380991053,-123.212236756972,0,0,
"No Barrier","2020-02-27T09:33:10-08:00",48.0178676152856,-123.232556640891,0,0,
"No Crossing","2020-02-27T11:05:00-08:00",48.0146736656671,-123.219579765139,0,0,
"Not Surveyed","2020-03-02T11:40:07-08:00",48.0250230793076,-123.230324662479,0,0,
"Partial RA","2020-02-27T11:05:19-08:00",48.0168970293713,-123.204337346079,0,0,
