Title,Date Created,Latitude,Longitude,Northing,Easting,Description,Address,PlaceId,Type
,2020-07-29T11:25:39-07:00,47.52206094,-122.5335275,804680.8998,1137991.444,,,,
420138,2020-06-22T10:44:21-07:00,47.43458919,-122.5743696,773047.0219,1127063.818,,,,
420139,2020-06-22T11:41:23-07:00,47.43120234,-122.5636212,771742.2557,1129690.844,,,,
420140,2020-06-22T14:51:58-07:00,47.42976335,-122.5336802,771025.0667,1137085.768,,,,
420141,2020-06-23T13:42:32-07:00,47.44835361,-122.5744947,778066.9599,1127164.911,,,,
420142,2020-06-24T12:39:18-07:00,47.46050691,-122.5728609,782487.9983,1127685.532,,,,
420143 Need SSM NFB US Storms Drain DS Drains Into  Olalla ,2020-06-23T11:15:30-07:00,47.44714751,-122.5753836,777632.9487,1126933.473,,,,
420197,2020-07-15T13:13:22-07:00,47.51214453,-122.5061969,800891.8107,1144650.573,33 pass,,,
420198,2020-07-15T13:12:50-07:00,47.51285891,-122.5066336,801155.0623,1144549.317,67 pass,,,
420200,2020-07-15T15:06:05-07:00,47.51721472,-122.515153,802797.1411,1142485.111,Level T needed? Tidal influenced from sound to estuary. Large crossing structure upstream on Southworth rd,,,
420206,2020-07-28T11:25:30-07:00,47.52240564,-122.5224001,804735.9151,1140743.321,Level B complete,,,
420207,2020-07-29T09:51:43-07:00,47.52264102,-122.5298496,804869.0258,1138905.4,,,,
420214,2020-08-03T10:42:18-07:00,47.59924467,-122.7093764,833994.2988,1095343.804,Failed culverts downstream. Flagged off construction site,,,
420215,2020-08-03T11:36:19-07:00,47.61567041,-122.7137746,840014.4571,1094427.151,,,,
420216,2020-08-04T10:00:23-07:00,47.64602279,-122.774583,851509.1944,1079753.163,0 passable. Very steep culvert ,,,
420221,2020-08-10T12:20:00-07:00,47.66375432,-122.7436641,857756.8911,1087556.307,0 passable ,,,
420222,2020-08-11T10:16:50-07:00,47.63615937,-122.7532693,847761.6463,1084902.573,0 passable,,,
420223,2020-08-11T12:31:02-07:00,47.63555905,-122.7375822,847432.6403,1088762.772,,,,
420224,2020-08-18T09:59:10-07:00,47.65278046,-122.7151293,853556.3839,1094473.279,33 passable ,,,
420228,2020-08-10T14:17:20-07:00,47.66176735,-122.7460441,857049.0111,1086949.359,,,,
420229,2020-08-11T12:00:53-07:00,47.63627322,-122.7428354,847729.8492,1087475.409,0 passable,,,
420230,2020-08-11T13:57:08-07:00,47.65261602,-122.7352147,853636.0695,1089522.614,0 passable ,,,
420231,2020-08-18T12:18:28-07:00,47.65088245,-122.7181568,852885.2208,1093707.83,1.04% slope. 33 passable,,,
420233,2020-08-04T11:01:23-07:00,47.64809049,-122.7732966,852254.0498,1080091.9,,,,
420241,2020-08-26T11:31:18-07:00,47.89869255,-122.5663903,942246.9757,1133473.075,0 passable ,,,
420252,2020-09-22T13:33:49-07:00,47.78030979,-122.49127,898595.5417,1150807.946,,,,
Camp WesleyHarris. Permission Needed,2020-08-03T13:22:17-07:00,47.60434491,-122.7395524,836064.0589,1087953.899,Grate on outlet. Inlet photo at 1:35,,,
Double Culvert,2020-08-11T12:10:26-07:00,47.63659278,-122.7363459,847800.9522,1089078.194,,,,
DS On Private W/t Gate US Rd Ditch 0.7,2020-06-23T14:24:25-07:00,47.45153739,-122.5730509,779218.5253,1127552.556,,,,
DS Private RND CST 0.61 BF 4.2,2020-06-24T10:42:13-07:00,47.46158819,-122.5705162,782867.0535,1128275.723,,,,
DS Private W/t Fence US 15-20m Then Wetland Area,2020-06-23T14:47:38-07:00,47.45906777,-122.5730273,781964.3023,1127630.58,,,,
DS Private W/t Gate Culvert On Other Driveway Fish Use US ,2020-06-23T14:38:59-07:00,47.45818973,-122.5728762,781643.1437,1127659.522,,,,
FPDSI?,2020-08-03T10:33:38-07:00,47.5881693,-122.7094257,829955.9671,1095218.465,,,,
FPDSI?,2020-08-03T10:38:50-07:00,47.59114875,-122.7094122,831042.3384,1095252.238,,,,
Habitat Ends At Culvert,2020-09-01T11:32:53-07:00,47.87396781,-122.5521931,933138.202,1136720.569,Size shape material: PCC RND 0.31,,,
Needs A Site Number. (420221?)Landowner Contact,2020-07-28T14:18:22-07:00,47.52368244,-122.521957,805198.7127,1140864.722,Outlet is mostly buried and broken. Inlet not found. Underground on Private property.  Round PCC 0.53 m. 0.36 m of sediment at outlet. Tidally influence. ,,,
NFB,2020-06-24T11:36:51-07:00,47.41805265,-122.5665656,766966.3904,1128836.655,,,,
NFB,2020-07-15T14:04:56-07:00,47.51670883,-122.5173359,802626.4508,1141941.128,PVC Drainage pipe,,,
NFB,2020-07-28T10:32:27-07:00,47.51768132,-122.5179934,802985.2366,1141787.769,,,,
NFB,2020-07-28T10:34:26-07:00,47.51832503,-122.5183925,803222.4979,1141695.175,Scour too small upstream ,,,
NFB,2020-07-28T10:46:47-07:00,47.51900452,-122.5187883,803472.7867,1141603.736,,,,
NFB,2020-07-28T14:37:35-07:00,47.52051122,-122.5250113,804061.6391,1140080.579,,,,
NFB,2020-07-28T14:40:14-07:00,47.52011749,-122.5252112,803919.3284,1140027.514,,,,
NFB,2020-08-03T10:11:28-07:00,47.56705628,-122.6922594,822138.8526,1099239.305,Underground pipe on Private property connecting these 2 pipes,,,
NFB,2020-08-03T10:11:53-07:00,47.56707873,-122.6914866,822141.7388,1099430.267,Underground pipe on Private property connecting these 2 pipes,,,
NFB,2020-08-03T10:21:53-07:00,47.55800954,-122.6838861,818782.6067,1101214.427,Storm grate at inlet,,,
NFB,2020-08-03T10:36:48-07:00,47.58955264,-122.7095672,830461.3855,1095197.694,Storm drain grate leads to half culvert runoff ,,,
NFB,2020-08-11T14:47:34-07:00,47.65354808,-122.7352239,853976.0191,1089529.974,No scour,,,
NFB,2020-08-11T14:52:40-07:00,47.6592817,-122.7351548,856066.3662,1089606.278,"Habitat ends at outlet Round, CST, 0.46",,,
NFB,2020-08-12T10:20:46-07:00,47.62658257,-122.7324059,844123.1421,1089945.933,Road runoff drainage,,,
NFB,2020-08-25T14:33:39-07:00,47.90456506,-122.5758794,944449.9828,1131202.042,,,,
NFB,2020-08-25T14:33:50-07:00,47.90555672,-122.5742077,944800.8871,1131621.525,,,,
NFB,2020-08-26T10:54:33-07:00,47.9017103,-122.574413,943399.3039,1131534.266,,,,
NFB,2020-08-26T11:28:15-07:00,47.89961301,-122.5664999,942583.4017,1133454.99,,,,
NFB,2020-08-26T13:56:55-07:00,47.91857375,-122.5638469,949481.9678,1134286.659,,,,
NFB,2020-08-26T13:57:07-07:00,47.89021671,-122.5786634,939234.713,1130381.325,Two culverts. One PVC one CST. Flow directly into another pipe on Private property with no visible outlet. No suitable habitat upstream. No scour,,,
NFB,2020-08-26T14:24:21-07:00,47.87937521,-122.5731758,935245.0903,1131623.534,,,,
